CustomerID,Country,OrderDate,OrderValue
CUST-00001,Germany,2024-02-07,233.83
CUST-00001,Germany,2024-05-22,491.99
CUST-00001,Germany,2024-06-28,323.51
CUST-00001,Germany,2024-08-13,143.74
CUST-00001,Germany,2024-03-15,303.24
CUST-00001,Germany,2024-10-16,314.57
CUST-00001,Germany,2024-07-14,153.66
CUST-00001,Germany,2024-02-02,278.84
CUST-00001,Germany,2024-05-05,230.91
CUST-00001,Germany,2024-07-21,275.37
CUST-00001,Germany,2024-08-22,351.2
CUST-00001,Germany,2024-02-28,249.8
CUST-00001,Germany,2024-09-27,308.82
CUST-00002,UK,2024-12-02,34.68
CUST-00003,France,2023-10-31,67.34
CUST-00003,France,2023-12-21,39.24
CUST-00004,UK,2024-11-27,104.31
CUST-00005,France,2023-12-19,247.5
CUST-00005,France,2023-12-04,241.52
CUST-00005,France,2024-07-30,207.68
CUST-00005,France,2024-03-13,107.6
CUST-00006,UK,2023-09-01,68.41
CUST-00006,UK,2024-05-05,34.09
CUST-00007,UK,2023-08-07,69.79
CUST-00008,UK,2024-03-03,348.44
CUST-00008,UK,2024-05-19,273.91
CUST-00008,UK,2024-03-11,328.93
CUST-00008,UK,2024-08-27,232.71
CUST-00008,UK,2024-03-24,196.32
CUST-00008,UK,2024-06-17,159.06
CUST-00008,UK,2024-10-23,332.86
CUST-00008,UK,2024-05-31,217.66
CUST-00008,UK,2024-05-15,238.7
CUST-00008,UK,2024-06-16,270.12
CUST-00008,UK,2024-10-21,134.22
CUST-00008,UK,2024-10-28,335.64
CUST-00008,UK,2024-03-03,151.7
CUST-00009,Belgium,2024-05-25,73.27
CUST-00010,UK,2024-04-07,220.54
CUST-00010,UK,2024-08-09,120.38
CUST-00011,France,2023-07-23,126.74
CUST-00011,France,2023-10-31,80.03
CUST-00011,France,2023-09-08,68.94
CUST-00012,Germany,2023-05-23,41.98
CUST-00013,UK,2024-09-01,371.74
CUST-00013,UK,2024-03-14,242.38
CUST-00013,UK,2024-07-23,237.6
CUST-00013,UK,2024-10-27,236.79
CUST-00013,UK,2024-03-18,295.2
CUST-00013,UK,2024-07-30,146.43
CUST-00013,UK,2024-05-21,28.97
CUST-00013,UK,2024-02-06,366.97
CUST-00013,UK,2024-11-03,253.48
CUST-00013,UK,2024-02-18,305.94
CUST-00013,UK,2024-08-17,197.84
CUST-00014,UK,2024-07-25,125.14
CUST-00014,UK,2024-08-08,108.35
CUST-00014,UK,2023-10-24,188.41
CUST-00015,Netherlands,2024-03-04,365.82
CUST-00015,Netherlands,2024-10-08,332.64
CUST-00015,Netherlands,2024-07-22,355.62
CUST-00015,Netherlands,2024-09-15,407.32
CUST-00015,Netherlands,2024-10-02,338.43
CUST-00015,Netherlands,2024-10-28,298.08
CUST-00015,Netherlands,2024-11-05,243.89
CUST-00015,Netherlands,2024-08-08,303.78
CUST-00015,Netherlands,2024-05-08,452.64
CUST-00015,Netherlands,2024-06-05,427.92
CUST-00015,Netherlands,2024-09-26,505.15
CUST-00015,Netherlands,2024-06-03,302.71
CUST-00015,Netherlands,2024-11-22,330.91
CUST-00015,Netherlands,2024-09-11,331.57
CUST-00015,Netherlands,2024-06-01,515.68
CUST-00015,Netherlands,2024-05-05,516.11
CUST-00015,Netherlands,2024-12-17,463.83
CUST-00015,Netherlands,2024-05-18,318.84
CUST-00015,Netherlands,2024-10-02,326.41
CUST-00015,Netherlands,2024-06-13,528.82
CUST-00015,Netherlands,2024-05-12,317.87
CUST-00015,Netherlands,2024-10-17,380.54
CUST-00015,Netherlands,2024-04-21,348.67
CUST-00015,Netherlands,2024-08-11,152.23
